count	cutoff	tprate	fprate	case	penal	gene	method
0	0.04	0.794117647059	0.0993227990971	BMweights	no	prk	paml
0	0.05	0.794117647059	0.0993227990971	BMweights	no	prk	paml
0	0.06	0.647058823529	0.00677200902935	BMweights	no	prk	paml
0	0.07	0.647058823529	0.00677200902935	BMweights	no	prk	paml
0	0.08	0.647058823529	0.00677200902935	BMweights	no	prk	paml
0	0.09	0.617647058824	0.00677200902935	BMweights	no	prk	paml
0	0.1	0.617647058824	0.00677200902935	BMweights	no	prk	paml
0	0.11	0.617647058824	0.00677200902935	BMweights	no	prk	paml
0	0.12	0.617647058824	0.00677200902935	BMweights	no	prk	paml
0	0.13	0.617647058824	0.00677200902935	BMweights	no	prk	paml
0	0.14	0.588235294118	0.00677200902935	BMweights	no	prk	paml
0	0.15	0.588235294118	0.00677200902935	BMweights	no	prk	paml
0	0.16	0.588235294118	0.00677200902935	BMweights	no	prk	paml
0	0.17	0.558823529412	0.00677200902935	BMweights	no	prk	paml
0	0.18	0.529411764706	0.00677200902935	BMweights	no	prk	paml
0	0.19	0.529411764706	0.00677200902935	BMweights	no	prk	paml
0	0.2	0.529411764706	0.00677200902935	BMweights	no	prk	paml
0	0.21	0.529411764706	0.00677200902935	BMweights	no	prk	paml
0	0.22	0.529411764706	0.00677200902935	BMweights	no	prk	paml
0	0.23	0.529411764706	0.00677200902935	BMweights	no	prk	paml
0	0.24	0.529411764706	0.00677200902935	BMweights	no	prk	paml
0	0.25	0.529411764706	0.00677200902935	BMweights	no	prk	paml
0	0.26	0.529411764706	0.00677200902935	BMweights	no	prk	paml
0	0.27	0.529411764706	0.00677200902935	BMweights	no	prk	paml
0	0.28	0.529411764706	0.00677200902935	BMweights	no	prk	paml
0	0.29	0.5	0.00677200902935	BMweights	no	prk	paml
0	0.3	0.5	0.00677200902935	BMweights	no	prk	paml
0	0.31	0.5	0.00677200902935	BMweights	no	prk	paml
0	0.32	0.470588235294	0.00677200902935	BMweights	no	prk	paml
0	0.33	0.470588235294	0.00677200902935	BMweights	no	prk	paml
0	0.34	0.441176470588	0.00677200902935	BMweights	no	prk	paml
0	0.35	0.441176470588	0.00677200902935	BMweights	no	prk	paml
0	0.36	0.441176470588	0.00677200902935	BMweights	no	prk	paml
0	0.37	0.441176470588	0.00677200902935	BMweights	no	prk	paml
0	0.38	0.441176470588	0.00677200902935	BMweights	no	prk	paml
0	0.39	0.441176470588	0.00677200902935	BMweights	no	prk	paml
0	0.4	0.441176470588	0.00677200902935	BMweights	no	prk	paml
0	0.41	0.411764705882	0.00677200902935	BMweights	no	prk	paml
0	0.42	0.411764705882	0.00677200902935	BMweights	no	prk	paml
0	0.43	0.411764705882	0.00677200902935	BMweights	no	prk	paml
0	0.44	0.411764705882	0.00677200902935	BMweights	no	prk	paml
0	0.45	0.411764705882	0.00677200902935	BMweights	no	prk	paml
0	0.46	0.411764705882	0.00677200902935	BMweights	no	prk	paml
0	0.47	0.411764705882	0.00677200902935	BMweights	no	prk	paml
0	0.48	0.411764705882	0.00677200902935	BMweights	no	prk	paml
0	0.49	0.411764705882	0.00677200902935	BMweights	no	prk	paml
0	0.5	0.411764705882	0.00677200902935	BMweights	no	prk	paml
0	0.51	0.411764705882	0.00451467268623	BMweights	no	prk	paml
0	0.52	0.411764705882	0.00225733634312	BMweights	no	prk	paml
0	0.53	0.411764705882	0.00225733634312	BMweights	no	prk	paml
0	0.54	0.411764705882	0.00225733634312	BMweights	no	prk	paml
0	0.55	0.411764705882	0.00225733634312	BMweights	no	prk	paml
0	0.56	0.411764705882	0.00225733634312	BMweights	no	prk	paml
0	0.57	0.411764705882	0.00225733634312	BMweights	no	prk	paml
0	0.58	0.411764705882	0.00225733634312	BMweights	no	prk	paml
0	0.59	0.411764705882	0.00225733634312	BMweights	no	prk	paml
0	0.6	0.411764705882	0.00225733634312	BMweights	no	prk	paml
0	0.61	0.411764705882	0.00225733634312	BMweights	no	prk	paml
0	0.62	0.411764705882	0.00225733634312	BMweights	no	prk	paml
0	0.63	0.411764705882	0.00225733634312	BMweights	no	prk	paml
0	0.64	0.411764705882	0.00225733634312	BMweights	no	prk	paml
0	0.65	0.411764705882	0.00225733634312	BMweights	no	prk	paml
0	0.66	0.411764705882	0.00225733634312	BMweights	no	prk	paml
0	0.67	0.411764705882	0.0	BMweights	no	prk	paml
0	0.68	0.411764705882	0.0	BMweights	no	prk	paml
0	0.69	0.411764705882	0.0	BMweights	no	prk	paml
0	0.7	0.411764705882	0.0	BMweights	no	prk	paml
0	0.71	0.382352941176	0.0	BMweights	no	prk	paml
0	0.72	0.382352941176	0.0	BMweights	no	prk	paml
0	0.73	0.382352941176	0.0	BMweights	no	prk	paml
0	0.74	0.382352941176	0.0	BMweights	no	prk	paml
0	0.75	0.382352941176	0.0	BMweights	no	prk	paml
0	0.76	0.382352941176	0.0	BMweights	no	prk	paml
0	0.77	0.382352941176	0.0	BMweights	no	prk	paml
0	0.78	0.323529411765	0.0	BMweights	no	prk	paml
0	0.79	0.323529411765	0.0	BMweights	no	prk	paml
0	0.8	0.323529411765	0.0	BMweights	no	prk	paml
0	0.81	0.323529411765	0.0	BMweights	no	prk	paml
0	0.82	0.323529411765	0.0	BMweights	no	prk	paml
0	0.83	0.323529411765	0.0	BMweights	no	prk	paml
0	0.84	0.323529411765	0.0	BMweights	no	prk	paml
0	0.85	0.323529411765	0.0	BMweights	no	prk	paml
0	0.86	0.323529411765	0.0	BMweights	no	prk	paml
0	0.87	0.323529411765	0.0	BMweights	no	prk	paml
0	0.88	0.323529411765	0.0	BMweights	no	prk	paml
0	0.89	0.323529411765	0.0	BMweights	no	prk	paml
0	0.9	0.323529411765	0.0	BMweights	no	prk	paml
0	0.91	0.323529411765	0.0	BMweights	no	prk	paml
0	0.92	0.323529411765	0.0	BMweights	no	prk	paml
0	0.93	0.323529411765	0.0	BMweights	no	prk	paml
0	0.94	0.323529411765	0.0	BMweights	no	prk	paml
0	0.95	0.294117647059	0.0	BMweights	no	prk	paml
0	0.96	0.294117647059	0.0	BMweights	no	prk	paml
0	0.97	0.264705882353	0.0	BMweights	no	prk	paml
0	0.98	0.264705882353	0.0	BMweights	no	prk	paml
0	0.99	0.176470588235	0.0	BMweights	no	prk	paml
0	1.0	0.0294117647059	0.0	BMweights	no	prk	paml
0	0.0	1.0	1.0	BMweightsP	yes	prk	paml
0	0.01	0.882352941176	0.196388261851	BMweightsP	yes	prk	paml
0	0.02	0.852941176471	0.194130925508	BMweightsP	yes	prk	paml
0	0.03	0.852941176471	0.191873589165	BMweightsP	yes	prk	paml
0	0.04	0.852941176471	0.189616252822	BMweightsP	yes	prk	paml
0	0.05	0.823529411765	0.189616252822	BMweightsP	yes	prk	paml
0	0.06	0.647058823529	0.00225733634312	BMweightsP	yes	prk	paml
0	0.07	0.647058823529	0.0	BMweightsP	yes	prk	paml
0	0.08	0.647058823529	0.0	BMweightsP	yes	prk	paml
0	0.09	0.647058823529	0.0	BMweightsP	yes	prk	paml
0	0.1	0.647058823529	0.0	BMweightsP	yes	prk	paml
0	0.11	0.647058823529	0.0	BMweightsP	yes	prk	paml
0	0.12	0.647058823529	0.0	BMweightsP	yes	prk	paml
0	0.13	0.647058823529	0.0	BMweightsP	yes	prk	paml
0	0.14	0.647058823529	0.0	BMweightsP	yes	prk	paml
0	0.15	0.647058823529	0.0	BMweightsP	yes	prk	paml
